*****************************************************************
G4PenelopeRayleighModel: Form Factor Table for G4_Al
Q/(m_e*c)                 F(Q)     
*****************************************************************
1e-09              13
1e-06              13
0.0001              12.9989
0.00015              12.9968
0.0002              12.9943
0.00025              12.9916
0.0003              12.9886
0.0004              12.9814
0.0005              12.9726
0.0006              12.9623
0.0007              12.9492
0.0008              12.9331
0.0009              12.9156
0.001              12.8973
0.0011              12.8758
0.0012              12.8522
0.0013              12.8273
0.0014              12.8007
0.0015              12.7721
0.0016              12.7417
0.0018              12.6769
0.002              12.6066
0.0022              12.5307
0.0024              12.4501
0.0026              12.3631
0.0028              12.2734
0.003              12.178
0.0032              12.0813
0.0034              11.9824
0.0036              11.8813
0.0038              11.7777
0.004              11.6727
0.00425              11.5427
0.0045              11.4104
0.00475              11.2782
0.005              11.1481
0.0055              10.891
0.006              10.6418
0.0065              10.4024
0.007              10.1751
0.0075              9.96062
0.008              9.75819
0.0085              9.56819
0.009              9.3897
0.0095              9.22152
0.01              9.06251
0.011              8.7671
0.012              8.49499
0.013              8.24036
0.014              7.99843
0.015              7.76457
0.016              7.53453
0.017              7.30735
0.018              7.08001
0.019              6.85446
0.02              6.62862
0.021              6.40359
0.022              6.18005
0.023              5.95987
0.024              5.74299
0.025              5.52929
0.026              5.32012
0.027              5.1163
0.028              4.91827
0.029              4.72667
0.03              4.54127
0.031              4.36242
0.032              4.1906
0.034              3.86934
0.036              3.57648
0.038              3.312
0.04              3.07492
0.042              2.86317
0.044              2.6749
0.046              2.50817
0.048              2.36068
0.05              2.23028
0.0525              2.08852
0.055              1.96715
0.0575              1.86327
0.06              1.77474
0.0625              1.69941
0.065              1.6349
0.0675              1.57883
0.07              1.52961
0.0725              1.48594
0.075              1.44679
0.08              1.37842
0.085              1.31887
0.09              1.26453
0.1              1.16307
0.105              1.11471
0.11              1.06875
0.115              1.02563
0.12              0.985542
0.125              0.94831
0.13              0.912424
0.135              0.876137
0.14              0.838117
0.145              0.797911
0.15              0.755623
0.155              0.713693
0.16              0.674511
0.165              0.639595
0.17              0.609843
0.175              0.58516
0.18              0.563405
0.185              0.542548
0.19              0.521113
0.195              0.498261
0.2              0.473578
0.21              0.422642
0.22              0.374097
0.23              0.330975
0.24              0.294474
0.25              0.264536
0.26              0.239394
0.27              0.217327
0.28              0.197315
0.29              0.178687
0.3              0.161197
0.31              0.145499
0.32              0.132118
0.33              0.121218
0.34              0.11277
0.35              0.106509
0.36              0.101399
0.37              0.0965909
0.38              0.0915785
0.39              0.0859314
0.4              0.0796081
0.41              0.0730152
0.42              0.0664787
0.44              0.0544386
0.46              0.0444372
0.48              0.0366191
0.5              0.0307316
0.52              0.0262632
0.54              0.0227805
0.56              0.0199987
0.58              0.0177262
0.6              0.0158323
0.625              0.01386
0.675              0.0108104
0.7              0.00959352
0.725              0.00852375
0.75              0.00757491
0.775              0.00673485
0.8              0.00599382
0.825              0.00534166
0.85              0.00476861
0.9              0.00382405
0.95              0.00309614
1              0.00253339
1.05              0.00209427
1.1              0.00174734
1.15              0.00147014
1.2              0.00124636
1.25              0.00106403
1.3              0.000914183
1.35              0.000790073
1.4              0.000686531
1.45              0.000599569
1.5              0.000526078
1.55              0.00046361
1.6              0.000410224
1.65              0.000364369
1.7              0.000324796
1.75              0.000290492
1.8              0.000260632
1.85              0.000234537
1.9              0.000211648
1.95              0.000191501
2              0.000173709
2.1              0.000143939
2.2              0.000120305
2.3              0.000101343
2.4              8.59826e-05
2.5              7.34297e-05
2.6              6.30903e-05
2.7              5.45129e-05
2.8              4.73495e-05
2.9              4.13296e-05
3              3.62412e-05
3.1              3.19165e-05
3.2              2.8222e-05
3.3              2.50505e-05
3.4              2.23157e-05
3.5              1.99472e-05
3.6              1.78877e-05
3.7              1.60898e-05
3.8              1.45146e-05
3.9              1.31298e-05
4              1.19082e-05
4.1              1.08273e-05
4.2              9.86791e-06
4.3              9.01394e-06
4.6              6.95765e-06
4.8              5.91122e-06
5              5.05736e-06
5.2              4.35473e-06
5.4              3.772e-06
5.6              3.2852e-06
5.8              2.87581e-06
6              2.52937e-06
6.5              1.86964e-06
7              1.41481e-06
7.25              1.24031e-06
7.5              1.09243e-06
7.75              9.66403e-07
8              8.58415e-07
8.25              7.6542e-07
8.5              6.84959e-07
8.75              6.15032e-07
9              5.54006e-07
9.5              4.53514e-07
10              3.75265e-07
12.5              1.65546e-07
15              8.54042e-08
17.5              4.9034e-08
20              3.04241e-08
22.5              2.00223e-08
25              1.38e-08
27.5              9.87205e-09
30              7.28136e-09
35              4.25977e-09
40              2.68608e-09
45              1.7929e-09
50              1.25133e-09
55              9.05314e-10
60              6.74593e-10
70              4.01792e-10
80              2.5726e-10
90              1.74008e-10
100              1.22868e-10
150              3.26862e-11
300              3.57558e-12
450              1.00624e-12
600              4.13637e-13
1000              8.69859e-14
3000              3.25409e-15
10000              9.51923e-17
30000              3.87846e-18
100000              1.13996e-19
300000              4.4198e-21
1e+06              1.2192e-22
3e+06              4.5121e-24
1e+07              1.19839e-25
3e+07              4.33594e-27
1e+08              1.13791e-28
