*****************************************************************
G4PenelopeRayleighModel: Form Factor Table for G4_BONE_CORTICAL_ICRP
Q/(m_e*c)                 F(Q)     
*****************************************************************
1e-09              12.6761
1e-06              12.6761
0.0001              12.6759
0.00015              12.6747
0.0002              12.6724
0.00025              12.6695
0.0003              12.6665
0.0004              12.6607
0.0005              12.6536
0.0006              12.6447
0.0007              12.6339
0.0008              12.6206
0.0009              12.6061
0.001              12.5906
0.0011              12.5725
0.0012              12.5535
0.0013              12.5328
0.0014              12.5106
0.0015              12.4873
0.0016              12.462
0.0018              12.4077
0.002              12.3489
0.0022              12.2846
0.0024              12.217
0.0026              12.1442
0.0028              12.0676
0.003              11.9885
0.0032              11.9058
0.0034              11.821
0.0036              11.7332
0.0038              11.6435
0.004              11.5519
0.00425              11.4357
0.0045              11.3174
0.00475              11.1972
0.005              11.0759
0.0055              10.8315
0.006              10.5854
0.0065              10.3381
0.007              10.0912
0.0075              9.84615
0.008              9.60369
0.0085              9.3649
0.009              9.12978
0.0095              8.89924
0.01              8.67326
0.011              8.2358
0.012              7.82215
0.013              7.43217
0.014              7.06732
0.015              6.72861
0.016              6.41489
0.017              6.12697
0.018              5.86381
0.019              5.62352
0.02              5.40427
0.021              5.20416
0.022              5.02149
0.023              4.85475
0.024              4.70247
0.025              4.5633
0.026              4.43548
0.027              4.31742
0.028              4.20786
0.029              4.10577
0.03              4.01022
0.031              3.92026
0.032              3.83502
0.034              3.67608
0.036              3.5291
0.038              3.39153
0.04              3.261
0.042              3.13594
0.044              3.01587
0.046              2.89991
0.048              2.7879
0.05              2.67955
0.0525              2.54895
0.055              2.42358
0.0575              2.30341
0.06              2.18811
0.0625              2.07747
0.065              1.97239
0.0675              1.87356
0.07              1.78112
0.0725              1.69532
0.075              1.61586
0.08              1.4734
0.085              1.34911
0.09              1.23948
0.1              1.05476
0.105              0.978207
0.11              0.912606
0.115              0.857532
0.12              0.812096
0.125              0.775228
0.13              0.744198
0.135              0.716086
0.14              0.688899
0.145              0.661259
0.15              0.632636
0.155              0.604601
0.16              0.578497
0.165              0.554991
0.17              0.534438
0.175              0.516773
0.18              0.50096
0.185              0.486052
0.19              0.471371
0.195              0.456444
0.2              0.441059
0.21              0.410143
0.22              0.380409
0.23              0.352907
0.24              0.328039
0.25              0.30579
0.26              0.28551
0.27              0.266515
0.28              0.248381
0.29              0.230863
0.3              0.21389
0.31              0.198199
0.32              0.184333
0.33              0.172487
0.34              0.162751
0.35              0.15498
0.36              0.148282
0.37              0.141909
0.38              0.135354
0.39              0.128244
0.4              0.120506
0.41              0.112509
0.42              0.104538
0.44              0.0895054
0.46              0.0764284
0.48              0.0655905
0.5              0.0568761
0.52              0.0498484
0.54              0.0440713
0.56              0.0392482
0.58              0.0351656
0.6              0.0316591
0.625              0.027912
0.675              0.0219776
0.7              0.0195891
0.725              0.0174925
0.75              0.0156393
0.775              0.0140011
0.8              0.0125548
0.825              0.0112774
0.85              0.0101487
0.9              0.00826958
0.95              0.00679695
1              0.00563621
1.05              0.00471312
1.1              0.00397176
1.15              0.00337092
1.2              0.00287982
1.25              0.00247523
1.3              0.00213945
1.35              0.00185889
1.4              0.00162297
1.45              0.00142343
1.5              0.00125373
1.55              0.00110866
1.6              0.000984048
1.65              0.000876531
1.7              0.000783366
1.75              0.000702308
1.8              0.000631515
1.85              0.000569463
1.9              0.000514892
1.95              0.000466736
2              0.000424113
2.1              0.000352592
2.2              0.000295618
2.3              0.000249771
2.4              0.000212535
2.5              0.000182036
2.6              0.000156857
2.7              0.00013592
2.8              0.000118393
2.9              0.000103628
3              9.11161e-05
3.1              8.04566e-05
3.2              7.13284e-05
3.3              6.34733e-05
3.4              5.66832e-05
3.5              5.07887e-05
3.6              4.5651e-05
3.7              4.11555e-05
3.8              3.72082e-05
3.9              3.37302e-05
4              3.06559e-05
4.1              2.79298e-05
4.2              2.55053e-05
4.3              2.3343e-05
4.6              1.81172e-05
4.8              1.54457e-05
5              1.32597e-05
5.2              1.1456e-05
5.4              9.95604e-06
5.6              8.69958e-06
5.8              7.64001e-06
6              6.74086e-06
6.5              5.02074e-06
7              3.82699e-06
7.25              3.36675e-06
7.5              2.97553e-06
7.75              2.64108e-06
8              2.35365e-06
8.25              2.1054e-06
8.5              1.88998e-06
8.75              1.70223e-06
9              1.53793e-06
9.5              1.26628e-06
10              1.05365e-06
12.5              4.76512e-07
15              2.50994e-07
17.5              1.46691e-07
20              9.24457e-08
22.5              6.1679e-08
25              4.30308e-08
27.5              3.11199e-08
30              2.31801e-08
35              1.37957e-08
40              8.82614e-09
45              5.96482e-09
50              4.20816e-09
55              3.07336e-09
60              2.3093e-09
70              1.39513e-09
80              9.03837e-10
90              6.17453e-10
100              4.3973e-10
150              1.20527e-10
300              1.37398e-11
450              3.94044e-12
600              1.63819e-12
1000              3.50125e-13
3000              1.33835e-14
10000              3.95258e-16
30000              1.61242e-17
100000              4.75536e-19
300000              1.85944e-20
1e+06              5.19752e-22
3e+06              1.95226e-23
1e+07              5.28201e-25
3e+07              1.94604e-26
1e+08              5.21178e-28
